pol_id,name,nickname,suffix,party
60527,Raul Rafael Labrador,,,Rep
60530,Charles Hatchett,,,Dem
60533,Renee Ellmers,,,Rep
60536,Dee Adcock,,,Rep
60541,George Michael Kelly,Mike,Jr.,Rep
60542,Thomas Anthony Marino,Tom,,Rep
60544,Keith James Rothfus,,,Rep
60571,Thomas Coleman Foley,Tom,,Rep
60575,Dan Debicella,,,Rep
60588,Cory Gardner,,,Rep
60601,John Wright Hickenlooper,,,Dem
60612,Art Robinson,,,Rep
60619,John Michael Mulvaney,Mick,,Rep
60628,Martha Dubina Roby,,,Rep
60629,Morris Jackson Brooks,Mo,Jr.,Rep
60639,Terrycina Andrea Sewell,Terri,,Dem
60668,Charles Duane Baker,Charlie,,Rep
60681,Harold Watson Gowdy,Trey,I,Rep
60686,Amerish Bera,Ami,,Dem
60689,Joseph John Heck,Joe,,Rep
60693,Mike Shumway Lee,,,Rep
60705,Garland Barr,Andy,,Rep
60713,Steve Carlson,,,Ind
60721,Tom Emmer,,,Rep
60735,Sean Patrick Duffy,,,Rep
60740,Ronald Harold Johnson,Ron,,Rep
60768,Michael Richard Pompeo,Mike,,Rep
60791,Robert Todd Schilling,Bobby,,Rep
60803,Arthur Henry Lieber,,,Dem
60813,Rick Vandeven,,,Oth
60848,Mark S. Reed,,,Rep
60873,John Dennis,,,Rep
60926,Nan Hayworth,,,Rep
60927,Christopher Patrick Gibson,Chris,,Rep
60935,Thomas W. Reed,Tom,I,Rep
60948,William Edward Haslam,Bill,,Rep
60964,Charles Joseph Fleischmann,Chuck,,Rep
60983,Stephen Lee Fincher,,,Rep
60986,Charlotte Bergmann,,,Rep
60997,Christopher Andrew Coons,Chris,,Dem
61002,Paul Anthony Gosar,,,Rep
61011,Dennis Heck,Denny,,Dem
61012,Suzan Kay DelBene,,,Dem
61020,Jody Hice,,,Rep
61021,William Robert Woodall,Rob,I,Rep
61040,Kelly A. Ayotte,,,Rep
61069,Daniel Joseph Benishek,Dan,,Rep
61070,Justin Amash,,,Rep
61073,Rick Snyder,,,Rep
61077,Ken Buck,,,Rep
61082,Matthew Hansen Mead,Matt,,Rep
61089,Billy Long,,,Rep
61091,Scott Eugene DesJarlais,,,Rep
61119,James Lankford,,,Rep
61145,Bruce Blakeman,,,Rep
61149,Richard Scott,Rick,,Rep
61156,Rose Izzo,,,Rep
61200,Dan Sebring,,,Rep
61201,Reid James Ribble,,,Rep
61212,Frank Guinta,,,Rep
61213,Ann McLane Kuster,,,Dem
61215,Michael Gerard Grimm,,,Rep
61251,Vincent Gray,,,Dem
61316,Rick W. Allen,,,Rep
61368,Clint B. Didier,,,Rep
61403,William Hurd,Will,,Rep
61424,Pete Gosar,,,Dem
61441,Allen Weh,,,Rep
61555,Suzanne Marie Bonamici,,,Dem
61562,John Delaney,,,Dem
61587,David Drain Wallace,Dave,I,Rep
61588,Daniel J. Bongino,Dan,,Rep
61612,Matthew A. Cartwright,Matt,,Dem
61618,Scott Gordon Perry,,,Rep
61629,Ronald Sylvester Barber,Ron,,Dem
61631,Martha E. McSally,,,Rep
61646,Bradley Scott Schneider,Brad,,Dem
61653,Dennis Anderson,,,Dem
61657,Cheri Callahan Bustos,,,Dem
61661,Jimmy Lee Tillman,,I,Rep
61675,Justin Kuhnle,,,Dem
61685,Susan Heitzman,,,Dem
61698,Susan Wiant Brooks,,,Rep
61749,Thomas Waddell Hill,Tom,,Dem
61758,Richard Lane Hudson,,Jr.,Rep
61773,Mark Randall Meadows,,,Rep
61779,George E.B. Holding,,,Rep
61791,Mark Sullivan,,,Dem
61800,Debra Strobel Fischer,Deb,,Rep
61815,Rafael Edward Cruz,Ted,,Rep
61839,Steve Bullock,,,Dem
61856,Steven Daines,Steve,,Rep
61872,Thomas Cotton,Tom,,Rep
61880,Thomas H. Massie,,,Rep
